"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"182","Amos Pieper",1102,6,0,0,12,6,1,8,17,15,0,1,0,84,30,11,NA
"183","Anatolii Trubin",540,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,NA
"184","Ander Barrenetxea",62,1,0,0,2,0,0,0,1,3,0,0,0,11,0,3,NA
"185","Ander Capa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"186","Ander Guevara",126,1,0,0,2,2,0,0,1,0,0,0,0,5,1,1,NA
"187","Ander Herrera",238,2,1,0,8,3,0,1,4,1,0,0,0,15,1,1,NA
"188","Andoni Gorosabel",713,2,0,0,5,6,0,16,7,7,0,0,0,28,5,13,NA
"189","András Schäfer",702,0,0,0,12,12,1,5,4,8,0,0,0,49,9,12,NA
"190","Andre-Frank Zambo Anguissa",1672,1,0,0,19,33,1,7,29,17,0,0,0,125,24,16,NA
"191","André Ayew",153,1,0,0,2,4,1,0,0,1,0,0,0,4,3,12,41.1
"192","André Gomes",536,2,0,0,21,6,1,4,3,6,0,0,0,49,6,3,NA
"193","André Hahn",391,1,0,0,8,3,1,6,4,5,0,0,0,19,13,15,NA
"194","André Onana",1250,2,0,0,0,1,0,0,0,0,0,0,0,8,1,0,NA
"195","André Silva",1218,1,0,0,11,25,5,7,2,3,0,0,0,34,11,25,NA
"196","Andrea Barberis",316,0,0,0,0,2,0,4,8,2,0,0,0,14,2,1,NA
"197","Andrea Belotti",368,0,0,0,9,10,4,3,1,2,0,0,0,9,6,14,NA
"198","Andrea Cambiaso",906,2,0,0,13,17,2,33,13,16,0,0,0,70,3,6,NA
"199","Andrea Carboni",167,0,0,0,1,1,0,5,3,2,0,0,0,8,0,3,NA
"200","Andrea Colpani",306,0,0,0,3,7,0,7,3,1,0,0,0,22,0,4,NA
"201","Andrea Consigli",1350,0,0,0,0,1,0,0,0,0,0,0,0,19,5,0,NA
